trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.5, 'e': 0.5819594443402982}",20,10,0.392989839764593,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.5790496471185967}",25,7,-73.46472689995548,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.5761543988830038}",30,20,15.346394235667093,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.5732736268885887}",25,8,27.760686981888018,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.5704072587541458}",30,16,1.818003221671463,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.567555222460375}",25,14,-30.853122218357313,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.5647174463480732}",30,0,-109.02156321736146,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.5618938591163328}",20,4,-74.28357653857908,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
116,False,"{'a': 0.5, 'e': 0.5590843898207511}",25,0,-33.66388919192478,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.5562889678716474}",30,10,-4.270540917741562,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.5535075230322891}",30,0,-24.246005300822837,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.5507399854171277}",20,0,-55.3174655803709,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.547986285490042}",20,15,-13.41840625509661,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.5452463540625918}",20,0,-3.644731481810341,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.5425201222922789}",30,0,-35.715582208829744,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.5398075216808175}",20,0,-103.642237847168,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.5371084840724134}",20,0,-65.6831891335921,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.5344229416520513}",20,0,-88.70083545145523,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.531750826943791}",20,9,-6.503680305695354,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.5290920728090721}",35,2,-63.11495801206891,"{0: 24, 1: 5, 2: 3, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.5264466124450268}",25,2,-38.24290194221186,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.5238143793828016}",20,2,-11.762069121537678,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.5211953074858876}",25,0,-33.876721081988904,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.5185893309484582}",20,5,-42.7652518481682,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.5159963842937159}",20,13,-73.44794121580743,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
133,False,"{'a': 0.5, 'e': 0.5134164023722473}",25,0,-49.31624619087526,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.510849320360386}",20,11,-69.84546124366835,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
135,False,"{'a': 0.5, 'e': 0.5082950737585841}",20,13,-8.26368835610036,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.5057535983897912}",20,0,-66.00897618567937,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.5032248303978422}",20,8,2.193634755664442,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.500708706245853}",20,3,-13.289268023182903,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.4982051627146237}",20,0,-26.298398868158774,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.49571413690105054}",20,3,-55.95361498712523,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.4932355662165453}",20,7,2.1060841333910365,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.4907693883854626}",25,10,3.3931060534060316,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.4883155414435353}",25,9,0.07716839445589918,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.4858739637363176}",30,0,-22.891674624804658,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.483444593917636}",20,0,-72.8726529097328,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.4810273709480478}",30,16,5.0885428781296556,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.47862223409330756}",25,5,-4.537828426113598,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.47622912292284103}",25,7,11.349736973864474,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.4738479773082268}",30,13,-39.4735880256533,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.47147873742168567}",25,12,-45.390878543282504,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.46912134373457726}",20,6,-34.6045027816691,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.46677573701590436}",20,14,8.491866996534805,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.46444185833082485}",25,6,3.969577606595937,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.46211964903917074}",30,7,-127.0686882820238,"{0: 14, 1: 0, 2: 5, 3: 3, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.4598090507939749}",20,0,-22.25150669263096,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.457510005540005}",20,0,-101.46108332159463,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
